Day,Trip,StartTime,EndTime,Codes,TypeOfEvent,Event
"Saturday","231","1:00 PM","2:45 PM","B,Y","Birding","Bay Birding Cruise"
"Saturday","232","1:00 PM","3:00 PM","B,W","Birding","Marina Point Boardwalk "
"Saturday","233","1:00 PM","3:00 PM","B,Y","Birding","Pishing and Bird Calls"
"Saturday","234","1:00 PM","4:00 PM","W","Birding","The Basics of Bird Photography"
"Saturday","234","1:00 PM","4:00 PM","B,Y","Nature","Sea Otters & the Kelp Forest"
"Saturday","236","1:30 PM","2:30 PM","B,W,Y","Birding","Pacific Wildlife Care - Meet the Raptors"
"Saturday","237","2:00 PM","3:00 PM","B,W,Y","Nature","Climate Change on the Central Coast"
"Saturday","238","2:00 PM","3:45 PM","B,Y","Birding","Birding Up Close"
"Saturday","239","2:00 PM","4:30 PM","W","Birding","Birding By Ear Workshop"
"Saturday","240","3:00 PM","4:00 PM","B,W,Y","Birding","Pacific Wildlife Care - Meet the Raptors"
"Saturday","241","3:00 PM","4:45 PM","B,Y","Birding","Bay Birding Cruise "
"Saturday","242","4:00 PM","5:00 PM","B,W","Nature","Seabird Protection Network"
"Saturday","243","7:00 PM","8:30 PM","B,W,Y","Birding","Keynote Speaker: Sheri Williamson - Hummingbirds: Small Wonders"
"Sunday","301","6:45 AM","2:30 PM","","Birding","Casual Little Big Day "
"Sunday","302","6:45 AM","4:00 PM","B","Birding","Bicycle Birding Big Day"
"Sunday","303","6:45 AM","5:00 PM","","Birding","Birding the Carrizo Plain"
"Sunday","304","7:00 AM","12:00 PM","","Birding","Little Pelagic Half-Day Ocean Trip"
"Sunday","305","7:00 AM","12:00 PM","B,Y","Nature","Point Buchon Ecology Field Trip"
"Sunday","306","7:30 AM","11:30 AM","","Birding","Birds Sounds Field Study"
"Sunday","307","7:30 AM","11:30 AM","","Birding","Little Sit"
"Sunday","308","7:30 AM","12:00 PM","B,Y","Birding","Bird El Chorro Regional Park"
"Sunday","309","7:30 AM","12:00 PM","","Birding","Oak Woodland and Wetland Birds"
"Sunday","310","7:45 AM","12:00 PM","","Birding","Birding By Ear Field Trip"
"Sunday","311","7:45 AM","12:00 PM","B,Y","Birding","Laguna Lake"
"Sunday","312","7:45 AM","12:00 PM","B,Y","Birding","Montaña de Oro Campground, Cove & Bluffs"
"Sunday","313","7:45 AM","12:00 PM","B,Y","Nature","Wildlife Viewing at Piedras Blancas"
"Sunday","314","8:00 AM","10:00 AM","","Birding","PhoneScoping"
"Sunday","315","8:00 AM","12:00 PM","","Birding","Morro Strand Shorebird Stroll"
"Sunday","316","8:00 AM","12:00 PM","B,Y","Nature","Mushroom Walk"
"Sunday","317","8:00 AM","1:00 PM","B,Y","Nature","San Luis Lighthouse at Avila"
"Sunday","318","8:15 AM","12:00 PM","","Birding","Birding Cal Poly Canyon"
"Sunday","319","8:15 AM","12:00 PM","B,Y","Birding","Photograph Birds Where the Locals Go "
"Sunday","320","8:15 AM","2:30 PM","","Birding","Highway 1 Corridor Raptor Survey"
"Sunday","321","8:30 AM","11:30 AM","B,Y","Birding","Birding for Beginners"
"Sunday","322","8:30 AM","12:00 PM","B,Y","Birding","Birding by Careful Observation"
"Sunday","323","8:30 AM","12:00 PM","B,Y","Birding","Marina & Campground Birding"
"Sunday","324","8:30 AM","12:00 PM","","Birding","South Morro Bay Shoreline"
"Sunday","325","8:45 AM","12:00 PM","B,Y","Birding","Beginning Birding Hot Spots"
"Sunday","326","9:00 AM","10:45 AM","B","Birding","Bay Birding Photo Cruise "
"Sunday","327","9:00 AM","11:00 AM","B,W,Y","Birding","Easy Birding"
"Sunday","328","9:00 AM","12:00 PM","B,Y","Birding","Birds of Sea and Land at Morro Rock"
"Sunday","329","9:00 AM","12:00 PM","B,W","Birding","Jewels in your Backyard: Attracting and Feeding Hummingbirds"
"Sunday","330","9:00 AM","12:00 PM","B,Y","Birding","Kayaking"
"Sunday","331","9:30 AM","12:00 PM","B,Y","Nature","Sustainable Seafood"
"Sunday","332","10:00 AM","11:45 AM","B,Y","Nature","Morro Bay Up Close"
"Sunday","333","1:00 PM","2:45 PM","B,Y","Birding","Bay Birding Cruise "
"Sunday","334","1:00 PM","3:00 PM","B,Y","Nature","Elfin Forest"
"Sunday","335","1:00 PM","4:30 PM","B,Y","Birding","Shorebirds Made Easy"
"Sunday","336","1:30 PM","2:30 PM","B,Y","Nature","Pacific Wildlife Care Tour"
"Sunday","337","1:30 PM","3:00 PM","B,W,Y","Nature","Butterflying: A Perfect Complement to Birding"
"Sunday","338","2:00 PM","3:45 PM","B,Y","Birding","Birding Up Close"
"Sunday","339","2:00 PM","4:30 PM","B,W","Nature","Bird Skulls and Dissection"
"Sunday","340","2:00 PM","5:00 PM","B,Y","Nature","Dairy Creek Zero-Waste Facility"
"Sunday","341","2:45 PM","4:30 PM","B,Y","Birding","Bay Birding Cruise "
"Sunday","342","3:00 PM","4:30 PM","B,W,Y","Birding","Great Blue Herons, Egrets and Other Rookery Wonders"
"Sunday","343","7:00 PM","8:30 PM","B,W,Y","Birding","Sunday Keynote Speaker - Tom Wood - The Hummer with the Silver Bracelet"
"Monday","401","7:00 AM","12:00 PM","B","Birding","Back Bay Birding"
"Monday","402","7:30 AM","12:00 PM","B,Y","Nature","Birding Multiple Habitats"
"Monday","403","7:30 AM","12:00 PM","","Birding","Eco-Friendly Halter Ranch"
"Monday","404","7:45 AM","12:00 PM","B,Y","Birding","Birding at Lopez Lake"
"Monday","405","8:00 AM","10:30 AM","","Birding","Gulls of San Luis Obispo County Field Study "
"Monday","406","8:00 AM","11:00 AM","B,Y","Birding","Kayaking"
"Monday","407","8:00 AM","11:30 AM","","Birding","Guadalupe Dunes & River Mouth "
"Monday","408","8:00 AM","12:00 PM","","Birding","Birding Fiscalini Ranch "
"Monday","409","8:00 AM","2:00 PM","B,W","Birding","Las Cruzitas Ranch, Santa Ynez"
"Monday","410","8:15 AM","12:00 PM","B,Y","Birding","Riparian Habitats of Montana de Oro"
"Monday","411","8:30 AM","12:00 PM","B,Y","Birding","Montaña de Oro Campground, Cove & Bluffs"
"Monday","412","8:30 AM","12:00 PM","B,Y","Birding","Oso Flaco Lake Area "
"Monday","413","9:00 AM","10:45 AM","B,Y","Birding","Bay Birding Cruise "
"Monday","414","10:00 AM","11:45 AM","B,Y","Birding","Morro Bay Up Close"
"Monday","415","10:15 AM","11:30 AM","B,W,Y","Birding","Monday Mind Walk -The Recovery from the Exxon Valdez Oil Spill"
